gene,mean_exprs,bs,bs_conf
0610007P14Rik,2.158371041,2.40009221,[2.40009221 1.2724961  4.3841554 ]
0610009B22Rik,3.788018433,5.434186943,[5.43418694 3.4601284  8.10707041]
0610009O20Rik,0.474654378,1.143717418,[1.14371742 0.64375706 2.99338058]
0610010F05Rik,0.603773585,1.496748735,[1.45184627 0.99740203 2.12947254]
0610012G03Rik,8.1,65.73122159,[ 65.73122159  29.69440413 156.0722395 ]
0610031J06Rik,14.72767857,5.927704028,[5.92770403 4.81366807 7.03964378]
1110002L01Rik,0.034090909,1.486968672,[1.48696867        NA        NA]
1110004E09Rik,1.597560976,7.80411059,[ 7.80411059  5.12913625 12.23979574]
1110007C09Rik,4.110047847,7.303163297,[7.3031633  5.26818993 9.83055711]
1110012L19Rik,1.073394495,1.5629567,NA
1110032A03Rik,0.34741784,3.337940731,[3.33794073 2.04879857 5.62549044]
1110037F02Rik,2.596330275,2.757650746,[2.75765075 2.19797206 3.51205044]
1110038B12Rik,3.22972973,7.511483769,[ 7.51148377  4.36102741 12.61778535]
1110038F14Rik,1.624413146,3.19247538,[3.19247538 1.63012268 5.84580204]
1110051M20Rik,1.081632653,3.161745862,[3.16174586 2.1871233  4.91713255]
1110057K04Rik,0.966824645,1.545223749,[1.49886704 1.07436095 2.07182399]
1110058L19Rik,4.40990991,6.546859935,[6.54685993 4.28154747 9.7496634 ]
1110059E24Rik,1.156398104,1.536560126,[1.53656013 1.11329654 2.06031823]
1110059G10Rik,0.339869281,50.21070903,[50.21070903         NA         NA]
1190002N15Rik,0.677419355,1.116203261,[1.11620326 0.76459828 1.62492679]
1300002E11Rik,0.743243243,1.870380814,[1.87038081 0.93582801 4.01685492]
1500009L16Rik,0.707762557,4.447039338,[4.44703934 2.86023902 7.12934749]
1500011B03Rik,1.957943925,3.390748086,[3.39074809 2.21822162 5.11653208]
1500012F01Rik,2.258883249,14.10115125,[14.10115125  8.55343994 24.75063258]
1500015A07Rik,0.13963964,2.700619538,[2.70061954        NA        NA]
1600012H06Rik,1.204968944,29.9792206,[29.9792206        NA        NA]
1600014C10Rik,1.339366516,1.689972161,[1.68997216 1.09231292 3.16058146]
1700001G11Rik,0.049773756,1.199317624,[1.19931762        NA        NA]
1700003M07Rik,0.062200957,12.82331603,[12.82331603         NA         NA]
1700012B09Rik,0.049107143,1.200246009,[1.20024601        NA        NA]
1700017B05Rik,0.812121212,5.433458788,[ 5.43345879  3.13803717 10.37669841]
1700020I14Rik,1.534562212,10.71900516,[10.71900516  5.77572115 24.73596222]
1700021F05Rik,2.294930876,3.846627031,[3.84662703 3.02920429 4.92498947]
1700021K19Rik,0.841346154,2.503163481,[2.50316348 1.4077131  4.46452768]
1700025G04Rik,0.821596244,2.739655242,[2.73965524 1.70127376 4.57225913]
1700026L06Rik,0.049773756,1.949772951,[1.94977295        NA        NA]
1700037H04Rik,2.079069767,2.681357979,[2.68135798 2.02279122 3.46175192]
1700052K11Rik,0.274611399,1.336367234,[1.33636723        NA        NA]
1700102P08Rik,0.01793722,2.199744294,[2.26573662        NA        NA]
1700112E06Rik,0.0456621,1.723252695,[1.72325269        NA        NA]
1700123O20Rik,3.891891892,3.61585045,[3.61585045 2.94336946 4.48262173]
1810009A15Rik,6.63963964,3.522360377,[3.41668957        NA        NA]
1810013L24Rik,2.27014218,4.20376171,[4.20376171 3.3059272  5.39570378]
1810014B01Rik,0.037735849,1.411990639,[1.36963092        NA        NA]
1810024B03Rik,0.169811321,1.083135596,[1.0831356       NA       NA]
1810026J23Rik,0.972093023,1.573729145,[1.57372914 1.13365534 2.18011503]
1810030O07Rik,0.551401869,1.502772145,NA
1810037I17Rik,5.831818182,5.166672063,[5.16667206 4.28985486 6.2645633 ]
1810043H04Rik,2.486238532,1.859597144,[1.85959714 1.43399531 2.3641685 ]
1810055G02Rik,3.247706422,3.096704395,[3.09670439 2.23503971 4.94446596]
1810058I24Rik,7.450892857,3.634704719,[3.63470472 2.94743114 4.41460061]
1810062G17Rik,0.040178571,2.779522591,[2.77952259        NA        NA]
2010012O05Rik,1.720183486,1.953098328,[1.83591243 1.36712174 2.92250894]
2010107E04Rik,16.52232143,5.689858355,[5.68985835 4.82757749 6.72722143]
2010107G23Rik,0.085201794,3.558496651,[3.55849665        NA        NA]
2200002D01Rik,4.264705882,17.70408825,[17.70408825 13.6582508  23.01950168]
2210013O21Rik,3.574162679,7.254544556,NA
2210016F16Rik,4.640909091,13.53047614,[13.53047614  9.49616168 19.14817002]
2210016L21Rik,3.095454545,2.986584927,[3.34497512 2.166213   5.14125194]
2210018M11Rik,0.47715736,2.6192475,[2.6192475  1.51606804 4.84681943]
2300009A05Rik,0.805714286,10.06847703,[10.06847703  4.99369525 30.60149917]
2310003H01Rik,0.31372549,1.267452936,[1.26745294 0.75399729 2.9850301 ]
2310009A05Rik,2.319634703,4.574797385,[4.57479738 2.48940746 8.15106895]
2310009B15Rik,0.493421053,5.801961056,[ 5.80196106  2.83135902 13.44726054]
2310011J03Rik,1.893518519,3.929730073,[3.92973007 2.46059763 6.19146998]
2310022B05Rik,9.651785714,6.350043027,[6.35004303 5.36111743 7.56787098]
2310033P09Rik,0.619318182,9.381755583,[ 9.38175558  4.95681314 19.46585921]
2310039H08Rik,1.771300448,2.231406914,[2.23140691 1.54719922 3.71181814]
2310040G24Rik,0.053811659,10.83942025,[10.83942025         NA         NA]
2310047M10Rik,0.492307692,1.048871223,[1.04887122 0.65626599 1.62488427]
2310057M21Rik,0.874371859,1.709719639,[1.70971964 0.93458159 3.77557705]
2310061J03Rik,0.150943396,1.049175374,[1.04917537 0.51453047 2.12205496]
2310067B10Rik,0.222222222,1.26280281,[1.26280281        NA        NA]
2410002F23Rik,1.009756098,2.125242658,[2.12524266 1.25688171 3.81480575]
2410004B18Rik,0.730538922,2.916946497,[2.9169465  1.19769153 8.64350117]
2410004N09Rik,0.912037037,1.945771667,[1.82902537 1.34306697 2.55302191]
2410006H16Rik,7.677130045,4.554248219,[4.55424822 3.54044754 5.48223898]
2410015M20Rik,10.15625,6.343751966,[6.15343941 5.22441862 7.39005342]
2410016O06Rik,0.736111111,2.883523075,[2.88352307 1.23058077 8.82502647]
2410127L17Rik,0.289940828,2.520616161,[2.52061616 1.20907596 5.63376229]
2410131K14Rik,0.376146789,1.24208635,[1.20482376 0.77179167 1.91319831]
2510003E04Rik,0.851674641,1.902596979,[1.90259698 0.80946494 6.3756207 ]
2510009E07Rik,0.671497585,1.912423199,[1.9124232  1.32808328 2.73264043]
2610001J05Rik,5.837837838,2.883391347,[2.88339135 2.351936   3.52839284]
2610008E11Rik,0.906542056,2.124890713,[2.06114399 1.51900767 2.90884995]
2610034B18Rik,0.886792453,1.352009199,[1.3520092  0.96042886 1.89069061]
2610035D17Rik,0.085585586,1.414309832,[1.41430983        NA        NA]
2610203C20Rik,2.014492754,3.801705412,[3.80170541 2.29944907 5.8510105 ]
2610301B20Rik,0.739534884,1.198352321,[1.19835232 0.70346151 2.98971919]
2610306M01Rik,0.098130841,2.127520999,[2.127521      NA      NA]
2610318N02Rik,0.137931034,1.726950156,[1.72695016 0.82708459 3.71078407]
2610507B11Rik,2.141552511,1.733182249,[1.68118678 1.30131352 2.18679737]
2610528A11Rik,0.036036036,4.944852418,[4.94485242        NA        NA]
2700029M09Rik,1.238317757,1.795842422,[1.74196715 1.32789431 2.35228436]
2700060E02Rik,1.428571429,144.0806475,[144.08064755          NA          NA]
2700081O15Rik,1.67032967,4.978786023,[4.97878602 3.71286901 6.80992009]
2700097O09Rik,0.843902439,2.605807386,[2.60580739 1.86693767 3.69056649]
2700099C18Rik,0.371559633,4.063643838,[4.06364384 2.24773968 7.73788787]
2810002D19Rik,0.397260274,3.488391003,[3.488391      NA      NA]
2810004N23Rik,1.684931507,3.139896979,[3.13989698 2.23687307 4.81465125]
2810006K23Rik,0.244897959,2.994159964,[2.99415996        NA        NA]
2810008D09Rik,1.190909091,2.257295643,[2.25729564 1.49056859 3.99438684]
2810025M15Rik,1.195454545,1.075104046,[1.07510405 0.77471217 1.46574881]
2810403D21Rik,0.111675127,1.55897809,NA
2810408I11Rik,0.279816514,4.044709259,[4.04470926 2.20918886 7.82087128]
2810408M09Rik,0.744075829,1.331544832,[1.33154483 0.91526488 1.92271922]
2810410L24Rik,0.027522936,1.494565957,[1.49456596        NA        NA]
2810417H13Rik,0.472906404,10.56114448,[10.24431015  5.93062983 19.28812129]
2810428I15Rik,0.882653061,4.882042331,[4.88204233 2.81268584 8.4522735 ]
2810474O19Rik,1.024509804,3.308374089,[3.50687653 2.60002587 4.9164345 ]
2900026A02Rik,1.074766355,2.773644903,[2.7736449  2.05635127 3.79996329]
3110002H16Rik,0.86,1.193507105,[1.12189668 0.770024   1.59972222]
3110040N11Rik,1.201877934,1.82307377,[1.82307377 1.34923982 2.46863042]
3110043O21Rik,0.376146789,1.756372899,[1.70368171 1.08856792 2.68631786]
3110045C21Rik,0.131221719,2.600792046,[2.60079205 1.27706798 5.84171364]
3110062M04Rik,0.173913043,2.342676712,[2.34267671 1.13541134 5.28188773]
3110070M22Rik,0.173515982,7.707934264,[7.70793426        NA        NA]
3110082I17Rik,1.82038835,6.184833981,[6.18483398 4.23208714 8.93340317]
3300002I08Rik,0.045045045,1.890661493,[1.89066149        NA        NA]
3632451O06Rik,0.111111111,1.395146189,[1.39514619        NA        NA]
3830406C13Rik,2.038647343,2.226823389,[2.22682339 1.13268937 4.38022416]
4632428N05Rik,0.109090909,2.393174956,[2.24958446        NA        NA]
4833439L19Rik,2.049107143,1.501505381,[1.50150538 1.14372942 1.95576365]
4921536K21Rik,0.022522523,2.821098538,[2.82109854        NA        NA]
4930426L09Rik,0.140909091,2.567357429,[2.56735743        NA        NA]
4930427A07Rik,0.31981982,2.101792406,[2.10179241 1.30684433 4.13877601]
4930430F08Rik,0.676470588,18.58813965,[18.58813965         NA         NA]
4930452B06Rik,0.214611872,3.281176274,[3.28117627        NA        NA]
4930453N24Rik,1.291457286,3.802084597,[3.8020846  2.30721968 6.42318462]
4930486L24Rik,0.053571429,2.087924752,[2.08792475        NA        NA]
4930513N10Rik,0.036199095,9.57711173,[9.57711173        NA        NA]
4930515G01Rik,0.022522523,9.002345799,[9.0023458       NA       NA]
4930523C07Rik,0.171945701,2.307604952,[2.30760495 1.13015861 5.63659412]
4930563E22Rik,0.08490566,2.525956399,[2.45017771 1.03059747 7.07214042]
4930579G24Rik,0.522727273,1.528168709,[1.48232365 0.91938889 2.68698196]
4931406C07Rik,0.551886792,1.277040919,[1.27704092 0.86457076 1.91609619]
4931406P16Rik,0.754901961,1.058576031,[1.02681875 0.68747539 1.50333922]
4931414P19Rik,0.158139535,2.588731353,[2.58873135 1.10451109 6.75698921]
4931440P22Rik,0.036036036,4.945690816,[4.94569082        NA        NA]
4932416H05Rik,0.068181818,1.4782606,[1.52260842 0.58524557 4.39080523]
4932438A13Rik,0.592964824,1.061951898,[1.03009334 0.67889076 1.52999293]
4933404O12Rik,0.370892019,4.314202552,[4.31420255        NA        NA]
4933426M11Rik,1.452229299,4.349417505,[4.34941751 2.58646428 7.09045452]
5031426D15Rik,0.033492823,15.10006638,[15.10006638         NA         NA]
5031439G07Rik,0.873831776,2.602571472,[2.60257147 1.89533181 4.34504243]
5330426P16Rik,0.193693694,4.349823609,[4.34982361        NA        NA]
5430405H02Rik,0.65158371,2.106367694,[2.54870491 1.81643831 3.71296082]
5430416N02Rik,0.83255814,2.339081086,[2.33908109 1.56298883 3.99660817]
5430435G22Rik,0.556074766,1.513516214,[1.51351621 1.01637671 2.24880816]
5530601H04Rik,0.698412698,4.921306601,NA
5730409E04Rik,1.721973094,2.300764225,[2.50783301 1.54001333 4.05032498]
5730455P16Rik,0.636363636,2.080764473,[2.08076447 1.40985117 3.12587643]
5730508B09Rik,0.13963964,1.313753656,[1.35316627 0.68307854 2.78423256]
5830418K08Rik,0.684729064,3.130496545,[3.13049654 2.15928598 4.64901998]
6030419C18Rik,1.542288557,2.165580448,[2.16558045 1.62627678 2.87024387]
6330403K07Rik,0.075892857,2.858400009,[2.85840001        NA        NA]
6430550D23Rik,0.035874439,1.462733718,[1.41885171        NA        NA]
6530402F18Rik,0.155251142,1.288514647,[1.28851465 0.65540977 2.54045385]
6720489N17Rik,0.216216216,3.508369313,[3.50836931 1.7633024  7.41430123]
8430419L09Rik,0.386363636,1.103675647,[1.10367565 0.68460064 1.75581424]
9030617O03Rik,1.131067961,1.770813895,[1.77081389 1.31430095 2.43174337]
9030624J02Rik,2.752293578,2.978815597,[2.9788156  1.68449657 5.05429959]
9130008F23Rik,0.466019417,5.962754199,[ 5.9627542   3.11114591 13.78932354]
9130401M01Rik,1.111111111,2.590060056,[2.90086726 2.10667407 3.9542853 ]
9230114K14Rik,1.316742081,1.918614365,[1.91861437 1.34989653 3.23558893]
9330151L19Rik,0.060465116,4.335359453,[4.33535945        NA        NA]
9430008C03Rik,0.704761905,2.591386544,[2.59138654 1.56852022 4.44881647]
9430016H08Rik,1.802083333,6.193552603,[ 6.1935526   3.20243669 12.37795227]
9430020K01Rik,0.559241706,1.567135272,[1.56713527 0.75523718 4.62654499]
9430038I01Rik,0.412037037,1.062480524,[0.99873169 0.61682841 1.54709717]
9530068E07Rik,6.436936937,4.798077826,[4.79807783 3.51890948 6.88988891]
9630033F20Rik,0.849765258,2.557288184,[2.55728818 1.47495601 4.35198617]
9930012K11Rik,0.493023256,2.673673068,[2.67367307 1.5401175  4.84418594]
A230046K03Rik,1.627659574,6.352030884,[ 6.35203088  3.83490297 10.59738957]
A230050P20Rik,0.227272727,4.815885703,[4.8158857       NA       NA]
A330069E16Rik,0.779904306,8.75908803,[ 8.49631539  5.66318784 13.66524892]
A430005L14Rik,1.725490196,4.679021696,[4.6790217  2.9781109  6.90484734]
A430033K04Rik,0.151785714,2.083059887,[2.08305989 1.07451872 4.21270695]
A430105I19Rik,0.985148515,6.27042228,[6.27042228 4.03778505 9.79515995]
A630033H20Rik,0.028169014,11.5826959,NA
A730020M07Rik,0.193069307,3.894126289,[4.12777387 2.15515727 9.20009039]
