gene,mean_exprs,bs,bs_conf_ul,bs_conf_ll
0610007P14Rik,2.158371041,2.40009221,4.3841554,1.2724961
0610009B22Rik,3.788018433,5.434186943,8.10707041,3.4601284
0610012G03Rik,8.1,65.73122159,156.0722395,29.69440413
0610031J06Rik,14.72767857,5.927704028,7.03964378,4.81366807
1110004E09Rik,1.597560976,7.80411059,12.23979574,5.12913625
1110007C09Rik,4.110047847,7.303163297,9.83055711,5.26818993
1110037F02Rik,2.596330275,2.757650746,3.51205044,2.19797206
1110038B12Rik,3.22972973,7.511483769,12.61778535,4.36102741
1110038F14Rik,1.624413146,3.19247538,5.84580204,1.63012268
1110051M20Rik,1.081632653,3.161745862,4.91713255,2.1871233
1110058L19Rik,4.40990991,6.546859935,9.7496634,4.28154747
1110059E24Rik,1.156398104,1.536560126,2.06031823,1.11329654
1500011B03Rik,1.957943925,3.390748086,5.11653208,2.21822162
1500012F01Rik,2.258883249,14.10115125,24.75063258,8.55343994
1600014C10Rik,1.339366516,1.689972161,3.16058146,1.09231292
1700020I14Rik,1.534562212,10.71900516,24.73596222,5.77572115
1700021F05Rik,2.294930876,3.846627031,4.92498947,3.02920429
1700037H04Rik,2.079069767,2.681357979,3.46175192,2.02279122
1700123O20Rik,3.891891892,3.61585045,4.48262173,2.94336946
1810013L24Rik,2.27014218,4.20376171,5.39570378,3.3059272
1810037I17Rik,5.831818182,5.166672063,6.2645633,4.28985486
1810043H04Rik,2.486238532,1.859597144,2.3641685,1.43399531
1810055G02Rik,3.247706422,3.096704395,4.94446596,2.23503971
1810058I24Rik,7.450892857,3.634704719,4.41460061,2.94743114
2010012O05Rik,1.720183486,1.953098328,2.92250894,1.36712174
2010107E04Rik,16.52232143,5.689858355,6.72722143,4.82757749
2200002D01Rik,4.264705882,17.70408825,23.01950168,13.6582508
2210016F16Rik,4.640909091,13.53047614,19.14817002,9.49616168
2210016L21Rik,3.095454545,2.986584927,5.14125194,2.166213
2310009A05Rik,2.319634703,4.574797385,8.15106895,2.48940746
2310011J03Rik,1.893518519,3.929730073,6.19146998,2.46059763
